Id,cooling,model,torque,bore_stroke,transmission,dry_weight,frame,fuel_control,lubrication,engine,rear_suspension,total_length,starter,displacement,rear_brakes,compression,ignition,total_width,valves_per_cylinder,front_suspension,fuel_capacity,total_height,rear_tire,make,gearbox,emission,fuel_consumption,type,top_speed,total_weight,ground_clearance,wheelbase,clutch,fuel_system,year,rear_wheel_travel,front_brakes,front_tire,seat_height,power,front_wheel_travel
1,Liquid,Brute Force 300,21.6 Nm (2.2 kgf-m or 15.9 ft.lbs) @ 6500 RPM,72.7 x 65.2 mm (2.9 x 2.6 inches),Shaft drive (cardan)   (final drive),,"Double cradle, steel",Single Overhead Cams (SOHC),,"Single cylinder, four-stroke",Swingarm,1915 mm (75.4 inches),Electric,271.0 ccm (16.54 cubic inches),Single disc,11.0:1,DC-CDI,1080 mm (42.5 inches),,Double wishbone with 5-way adjustable spring preload,12.00 litres (3.17 US gallons),1170 mm (46.1 inches),22/10-10 ,Kawasaki,Automatic,,,ATV,,243.0 kg (535.7 pounds),155 mm (6.1 inches),1165 mm (45.9 inches),Centrifugal clutch,Carburettor. Keihin CVK32,2022,141 mm (5.6 inches),Double disc,22/7-10 ,"845 mm (33.3 inches) If adjustable, lowest setting.",21.5 HP (15.7  kW)) @ 7500 RPM,131 mm (5.2 inches)
2,Liquid,Brute Force 750 4x4i,57.9 Nm (5.9 kgf-m or 42.7 ft.lbs) @ 4750 RPM,85.0 x 66.0 mm (3.3 x 2.6 inches),Shaft drive (cardan)   (final drive),,"Double-cradle, high-tensile tubular steel",Single Overhead Cams (SOHC),,"V2, four-stroke",Double wishbone,2195 mm (86.4 inches),Electric,749.0 ccm (45.70 cubic inches),Sealed multidisc,9.3:1,TCBI with digital advance,1181 mm (46.5 inches),4,Double Wishbone,18.93 litres (5.00 US gallons),1219 mm (48.0 inches),25/10-12 ,Kawasaki,Automatic,,,ATV,,317.1 kg (699.0 pounds),239 mm (9.4 inches),1285 mm (50.6 inches),,Injection. DFI with 2 x 36mm Mikuni throttle bodies,2022,191 mm (7.5 inches),Double disc. Hydraulic. Two-piston calipers. ,25/8-12 ,"909 mm (35.8 inches) If adjustable, lowest setting.",,170 mm (6.7 inches)
3,Liquid,Concours 14 ,136.0 Nm (13.9 kgf-m or 100.3 ft.lbs) @ 6200 RPM,84.0 x 61.0 mm (3.3 x 2.4 inches),Shaft drive (cardan)   (final drive),,Monocoque Aluminum,Double Overhead Cams/Twin Cam (DOHC),,"In-line four, four-stroke",Tetra-Lever with stepless rebound damping adjustment and remote spring preload adjuster / 5.4 in.,2230 mm (87.8 inches),Electric,1352.0 ccm (82.50 cubic inches),Single disc. ABS. Petal-style disc. Single-piston caliper.,10.7:1,TCBI with Digital Advance,1001 mm (39.4 inches),4,"43mm inverted, telescopic fork with adjustable rebound damping and spring preload / 4.4 in.",21.95 litres (5.80 US gallons),1290 mm (50.8 inches),190/50-ZR17 ,Kawasaki,6-speed,,,Sport touring,,313.0 kg (690.0 pounds),124 mm (4.9 inches),1519 mm (59.8 inches),,Injection. DFI with four 40mm throttle bodies,2022,137 mm (5.4 inches),Double disc. ABS. Floating discs. Four-piston calipers. ,120/70-ZR17 ,"815 mm (32.1 inches) If adjustable, lowest setting.",155.0 HP (113.1  kW)) @ 5500 RPM,112 mm (4.4 inches)
4,Air,KFX50,,39.0 x 41.4 mm (1.5 x 1.6 inches),Chain   (final drive),,"Double cradle, steel",,,"Single cylinder, four-stroke",Swingarm with single shock absorber ,1400 mm (55.1 inches),Electric & kick,49.5 ccm (3.02 cubic inches),Single disc. Hydraulic. ,10.8:1,Solid state CDI,880 mm (34.6 inches),,Single A-arm with twin shock absorbers ,5.68 litres (1.50 US gallons),910 mm (35.8 inches),16/8-7 ,Kawasaki,Automatic,,,ATV,,111.1 kg (245.0 pounds),84 mm (3.3 inches),965 mm (38.0 inches),,Carburettor. Keihin PTE 16,2022,74 mm (2.9 inches),Expanding brake (drum brake). Dual,16/8-7 ,"635 mm (25.0 inches) If adjustable, lowest setting.",,71 mm (2.8 inches)
5,Air,KFX90,,47.0 x 51.8 mm (1.9 x 2.0 inches),Belt   (final drive),,"Double cradle, steel",Single Overhead Cams (SOHC),,"Single cylinder, four-stroke",Swingarm with single shock absorber ,1425 mm (56.1 inches),Electric & kick,90.0 ccm (5.49 cubic inches),Single disc. Hydraulic. ,10.1:1,Solid state CDI,905 mm (35.6 inches),,Single A-arm with twin shock absorbers ,5.50 litres (1.45 US gallons),925 mm (36.4 inches),18/9-8 ,Kawasaki,Automatic,,,ATV,,121.1 kg (267.0 pounds),100 mm (3.9 inches),965 mm (38.0 inches),Automatic CVT,Carburettor. Mikuni PTE 16,2022,74 mm (2.9 inches),Expanding brake (drum brake). Dual,18/7-8 ,"650 mm (25.6 inches) If adjustable, lowest setting.",,71 mm (2.8 inches)
6,Liquid,KLR 650,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 4500 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),Chain   (final drive),,"Tubular, Semi-Double Cradle",Double Overhead Cams/Twin Cam (DOHC),,"Single cylinder, four-stroke",Uni-Trak   single-shock system with 5-way preload and stepless rebound damping,2281 mm (89.8 inches),Electric,651.0 ccm (39.72 cubic inches),Single disc. Single piston. Optional ABS..,9.8:1,Electric CDI,970 mm (38.2 inches),,41mm telescopic fork,23.09 litres (6.10 US gallons),1466 mm (57.7 inches),130/80-17 ,Kawasaki,5-speed,,,Super motard,,206.9 kg (456.2 pounds),210 mm (8.3 inches),1480 mm (58.3 inches),Wet multi-disc manual clutch,Injection. DFI w/40mm Throttle Body,2022,185 mm (7.3 inches),Single disc. Two-piston calipers. Optional ABS.,90/90-21 ,"871 mm (34.3 inches) If adjustable, lowest setting.",,200 mm (7.9 inches)
7,Liquid,KLR 650 Adventure,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 4500 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),Chain   (final drive),,"Tubular, Semi-Double Cradle",Double Overhead Cams/Twin Cam (DOHC),,"Single cylinder, four-stroke",Uni-Trak   single-shock system with 5-way preload and stepless rebound damping,2281 mm (89.8 inches),Electric,651.0 ccm (39.72 cubic inches),Single disc. Single piston.  ABS..,9.8:1,Electric CDI,970 mm (38.2 inches),,41mm telescopic fork,23.09 litres (6.10 US gallons),1466 mm (57.7 inches),130/80-17 ,Kawasaki,5-speed,,,Super motard,,220.9 kg (487.0 pounds),210 mm (8.3 inches),1480 mm (58.3 inches),Wet multi-disc manual clutch,Injection. DFI w/40mm Throttle Body,2022,185 mm (7.3 inches),Single disc. Two-piston calipers.  ABS.,90/90-21 ,"871 mm (34.3 inches) If adjustable, lowest setting.",,200 mm (7.9 inches)
8,Liquid,KLR 650 Traveller,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 4500 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),Chain   (final drive),,"Tubular, Semi-Double Cradle",Double Overhead Cams/Twin Cam (DOHC),,"Single cylinder, four-stroke",Uni-Trak   single-shock system with 5-way preload and stepless rebound damping,2281 mm (89.8 inches),Electric,651.0 ccm (39.72 cubic inches),Single disc. Single piston.  ABS..,9.8:1,Electric CDI,970 mm (38.2 inches),,41mm telescopic fork,23.09 litres (6.10 US gallons),1466 mm (57.7 inches),130/80-17 ,Kawasaki,5-speed,,,Super motard,,214.0 kg (471.7 pounds),210 mm (8.3 inches),1480 mm (58.3 inches),Wet multi-disc manual clutch,Injection. DFI w/40mm Throttle Body,2022,185 mm (7.3 inches),Single disc. Two-piston calipers.  ABS.,90/90-21 ,"871 mm (34.3 inches) If adjustable, lowest setting.",,200 mm (7.9 inches)
9,Air,KLX 110R ,,53.0 x 50.6 mm (2.1 x 2.0 inches),Chain   (final drive),,"Backbone frame, high-tensile steel",Single Overhead Cams (SOHC),,"Single cylinder, four-stroke",Swingarm with single hydraulic shock ,1560 mm (61.4 inches),Electric & kick,112.0 ccm (6.83 cubic inches),Expanding brake (drum brake). Rod actuated,9.5:1,DC-CDI,650 mm (25.6 inches),2,30mm hydraulic telescopic fork,3.79 litres (1.00 US gallons),955 mm (37.6 inches),3.00-12 ,Kawasaki,4-speed,,,Enduro / offroad,,76.0 kg (167.5 pounds),216 mm (8.5 inches),1075 mm (42.3 inches),"Automatic centrifugal and wet, multi-disc clutch",Carburettor. 18mm Keihin carburetor and screw type throttle limiter on grip housing,2022,109 mm (4.3 inches),Expanding brake (drum brake). Cable actuated,2.50-14 ,"726 mm (28.6 inches) If adjustable, lowest setting.",,109 mm (4.3 inches)
10,Air,KLX 110R L,,53.0 x 50.6 mm (2.1 x 2.0 inches),Chain   (final drive),,"Backbone frame, high-tensile steel",Single Overhead Cams (SOHC),,"Single cylinder, four-stroke",Swingarm with single hydraulic shock ,1560 mm (61.4 inches),Electric & kick,112.0 ccm (6.83 cubic inches),Expanding brake (drum brake). Rod actuated,9.5:1,DC-CDI,650 mm (25.6 inches),2,30mm hydraulic telescopic fork,3.79 litres (1.00 US gallons),991 mm (39.0 inches),3.00-12 ,Kawasaki,4-speed,,,Enduro / offroad,,76.0 kg (167.5 pounds),264 mm (10.4 inches),1075 mm (42.3 inches),Wet multi-disc manual clutch,Carburettor. 18mm Keihin carburetor and screw type throttle limiter on grip housing,2022,132 mm (5.2 inches),Expanding brake (drum brake). Cable actuated,2.50-14 ,"729 mm (28.7 inches) If adjustable, lowest setting.",,140 mm (5.5 inches)
